Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,72.34423137807077,73.40898295532953,72.08781576119682,73.34793090820312,135480400,0.0,0.0
2020-01-03 00:00:00-05:00,72.56645629998577,73.4040885353176,72.40772247985007,72.63483428955078,146322800,0.0,0.0
2020-01-06 00:00:00-05:00,71.74593667895593,73.25269725728452,71.49195803761582,73.213623046875,118387200,0.0,0.0
2020-01-07 00:00:00-05:00,73.22337532187576,73.4822353806443,72.64704762956599,72.86927795410156,108872000,0.0,0.0
2020-01-08 00:00:00-05:00,72.56892089979291,74.34675657436134,72.56892089979291,74.04149627685547,132079200,0.0,0.0
2020-01-09 00:00:00-05:00,75.03052794960469,75.80955273461609,74.77655677746637,75.61418914794922,170108400,0.0,0.0
2020-01-10 00:00:00-05:00,75.85107435067187,76.35658715289449,75.27718354520005,75.7851333618164,140644800,0.0,0.0
2020-01-13 00:00:00-05:00,76.10506126614224,77.4311102516399,75.98539415795287,77.40424346923828,121532000,0.0,0.0
2020-01-14 00:00:00-05:00,77.34075358437227,77.55321356348341,76.2344905410413,76.3590316772461,161954400,0.0,0.0
2020-01-15 00:00:00-05:00,76.15633263095626,77.04769111689887,75.59464927008707,76.03178405761719,121923600,0.0,0.0
2020-01-16 00:00:00-05:00,76.58124984819595,77.09653303434774,76.21493754195605,76.98419189453125,108829200,0.0,0.0
2020-01-17 00:00:00-05:00,77.23572167289592,77.83891620111811,76.92557995412741,77.83647918701172,137816400,0.0,0.0
2020-01-21 00:00:00-05:00,77.46040601211023,77.9073037762054,77.16979763367068,77.30899810791016,110843200,0.0,0.0
2020-01-22 00:00:00-05:00,77.79986557930602,78.14420012636506,77.48972376652627,77.58496856689453,101832400,0.0,0.0
2020-01-23 00:00:00-05:00,77.63866789736687,78.03916543736112,77.08431055884306,77.95858001708984,104472000,0.0,0.0
2020-01-24 00:00:00-05:00,78.20768177522166,78.95983980712082,77.54099065746487,77.73391723632812,146537600,0.0,0.0
2020-01-27 00:00:00-05:00,75.71921058986575,76.13680461719416,74.45421362360176,75.4481430053711,161940000,0.0,0.0
2020-01-28 00:00:00-05:00,76.33950043318687,77.7559053019929,76.23937415637917,77.58251953125,162234000,0.0,0.0
2020-01-29 00:00:00-05:00,79.23337160530065,80.06367818480541,78.48365047107673,79.20650482177734,216229200,0.0,0.0
2020-01-30 00:00:00-05:00,78.27850287947913,79.14543905676159,77.8413680903649,79.09171295166016,126743200,0.0,0.0
2020-01-31 00:00:00-05:00,78.37373819807837,78.80110256095111,75.28695033247482,75.58488464355469,199588400,0.0,0.0
2020-02-03 00:00:00-05:00,74.31255996898562,76.55683415543996,73.8046101395846,75.37731170654297,173788400,0.0,0.0
2020-02-04 00:00:00-05:00,77.00128460296926,78.0587102502763,76.59101662808624,77.86578369140625,136616400,0.0,0.0
2020-02-05 00:00:00-05:00,79.00623007620794,79.3090532962716,77.89020432420062,78.50072479248047,118826800,0.0,0.0
2020-02-06 00:00:00-05:00,78.77423955061215,79.421389779305,78.21011921421928,79.4189453125,105425600,0.0,0.0
2020-02-07 00:00:00-05:00,78.91223426288705,79.16436537370218,77.84251287554201,78.33943176269531,117684000,0.1925,0.0
2020-02-10 00:00:00-05:00,76.90743982368366,78.7115249633789,76.82666312548272,78.7115249633789,109348800,0.0,0.0
2020-02-11 00:00:00-05:00,79.21333407944302,79.2867674317792,78.01631814404733,78.23662567138672,94323200,0.0,0.0
2020-02-12 00:00:00-05:00,78.69192964600568,80.09945941160234,78.69192964600568,80.09456634521484,113730400,0.0,0.0
2020-02-13 00:00:00-05:00,79.3577465512549,79.85466541801088,79.1521257240107,79.52420043945312,94747600,0.0,0.0
2020-02-14 00:00:00-05:00,79.49238191176738,79.79592384117875,79.02973688850116,79.54379272460938,80113600,0.0,0.0
2020-02-18 00:00:00-05:00,77.19627204135375,78.27089399977537,77.01268120319948,78.0873031616211,152531200,0.0,0.0
