Ticker
%5EAEX
%5EAORD
%5EATX
%5EAXJO
%5EDJI
%5EFCHI
%5EGDAXI
%5EGSPC
%5EGSPTSE
%5EHSI
%5EIBEX
%5EISEQ
%5EMXX
%5EN100
%5EN225
%5ENDX
%5ENZ50
%5EOMX
%5EOMXH25
%5EOSEAX
%5ESPEUP
%5ESSMI
%5ESTOXX
%5ESTOXX50E
%5EVIX
^AORD
^AXJO
^BFX
^BSESN
^BUK100P
^BVSP
^DJI
^FCHI
^GDAXI
^GSPC
^GSPTSE
^HSI
^IPSA
^IXIC
^JKSE
^JN0U.JO
^KS11
^MERV
^MXX
^N100
^N225
^NYA
^NZ50
^RUT
^STOXX50E
^TA125.TA
^TWII
^VIX
^XAX
000001.SS
399001.SZ
4005.T
4021.T
A
AA
AACAY
ABN.AS
ACFCX
ACFDX
ACFGX
ACFNX
ACFOX
ACFSX
ACILX
ACR.SG
ACSLX
ACTVX
AD
ADA-USD
AKO-B
ALCFX
ALCKX
ALGRX
ALGYX
ALLIX
ALZFX
AMFNX
AMOMX
ANOAX
ANODX
ANOGX
ANOHX
ANOIX
ANONX
ANOYX
APDDX
APFDX
APGYX
APHDX
APRAX
APRIX
APSGX
APSRX
AREDX
AREEX
AREWX
ARINX
ARKW
ARYCX
ARYEX
ASCGX
ASDEX
ASFYX
ASLWX
ATEAX
ATERX
ATEZX
ATOM-USD
AUDUSD=X
AVAX-USD
BCSFX
BCSVX
BDFFX
BDFIX
BDFUX
BESIX
BESVF
BGAFX
BGAIX
BGLUX
BHHEX
BHSRX
BIOPX
BIOUX
BIPIX
BIPSX
BISCX
BIVIX
BIVRX
BIVSX
BNB-USD
BNSCX
BOSOX
BPTIX
BPTRX
BPTUX
BRL=X
BSGIX
BSPAX
BSPGX
BSPIX
BSPPX
BSPSX
BTC-USD
BTEFX
BTMFX
BTSMX
BTTRX
BUFOX
BUFSX
BUIOX
BUISX
BUSD-USD
BZ=F
CA
CAD=X
CADOX
CAEAX
CAECX
CAEEX
CAEYX
CAEZX
CAMMX
CAMOX
CAMUX
CBFRX
CBFYX
CC=F
CCHRX
CCRIX
CDHRX
CECFX
CFLRX
CFMDX
CFRRX
CFRYX
CFRZX
CFSMX
CGOAX
CGTYX
CHHRX
CIOXY
CISMX
CL=F
CLDAX
CLDIX
CLOFX
CLONX
CMCRX
CMJAX
CMJIX
CMNYX
CMNZX
CNDAX
CNDCX
CNDRX
CNDTX
CNFRX
CNPIX
CNPSX
CNRIX
CNY=X
CPHUX
CREFX
CSCRX
CSEIX
CSGYX
CSGZX
CSJAX
CSJCX
CSJIX
CSJRX
CSJZX
CSRIX
CSRSX
CSZIX
CT
CT=F
CU
CYPIX
CYPSX
DAI-USD
DAX
DGIFX
DGIGX
DGYGX
DHANX
DHLAX
DHLRX
DHLYX
DIEMX
DISIX
DISSX
DMCFX
DNNGY
DNSMX
DOGE-USD
DOT-USD
DREGX
DRESX
DVSMX
DXQLX
EAASX
EAEAX
EAURX
ECEAX
EIEAX
EN
ENPIX
ENPSX
ES=F
ETC-USD
ETH-USD
EU
EUGAX
EUGCX
EUR=X
EURCAD=X
EURCHF=X
EURGBP=X
EURHUF=X
EURJPY=X
EURSEK=X
EURUSD=X
EXOSX
FACSX
FADTX
FAFCX
FAFDX
FAFSX
FAGNX
FAMKX
FANAX
FANIX
FATEX
FATIX
