Symbol,Type
NZDUSD=X,currencies
EURJPY=X,currencies
GBPJPY=X,currencies
EURGBP=X,currencies
EURCAD=X,currencies
EURSEK=X,currencies
EURCHF=X,currencies
EURHUF=X,currencies
EURJPY=X,currencies
CNY=X,currencies
HKD=X,currencies
SGD=X,currencies
INR=X,currencies
MXN=X,currencies
PHP=X,currencies
IDR=X,currencies
THB=X,currencies
MYR=X,currencies
ZAR=X,currencies
RUB=X,currencies
XOM,dividend-growth-market-leaders
JNJ,dividend-growth-market-leaders
KO,dividend-growth-market-leaders
MCD,dividend-growth-market-leaders
MDT,dividend-growth-market-leaders
SHW,dividend-growth-market-leaders
EMR,dividend-growth-market-leaders
CTAS,dividend-growth-market-leaders
AFL,dividend-growth-market-leaders
MKC,dividend-growth-market-leaders
V,8-buffett-buys
PG,8-buffett-buys
KO,8-buffett-buys
WFC,8-buffett-buys
VZ,8-buffett-buys
AXP,8-buffett-buys
GM,8-buffett-buys
KMI,8-buffett-buys
AAPL,tech-stocks-that-move-the-market
MSFT,tech-stocks-that-move-the-market
GOOG,tech-stocks-that-move-the-market
AMZN,tech-stocks-that-move-the-market
NVDA,tech-stocks-that-move-the-market
TSLA,tech-stocks-that-move-the-market
META,tech-stocks-that-move-the-market
BABA,tech-stocks-that-move-the-market
CRM,tech-stocks-that-move-the-market
AMD,tech-stocks-that-move-the-market
INTC,tech-stocks-that-move-the-market
ATVI,tech-stocks-that-move-the-market
PYPL,tech-stocks-that-move-the-market
TTD,tech-stocks-that-move-the-market
EA,tech-stocks-that-move-the-market
MTCH,tech-stocks-that-move-the-market
ZG,tech-stocks-that-move-the-market
YELP,tech-stocks-that-move-the-market
TIVO,tech-stocks-that-move-the-market
NVDA,semiconductor-stocks
TSM,semiconductor-stocks
AVGO,semiconductor-stocks
ASML,semiconductor-stocks
AMD,semiconductor-stocks
INTC,semiconductor-stocks
TXN,semiconductor-stocks
AMAT,semiconductor-stocks
QCOM,semiconductor-stocks
LRCX,semiconductor-stocks
ADI,semiconductor-stocks
MU,semiconductor-stocks
KLAC,semiconductor-stocks
NXPI,semiconductor-stocks
APH,semiconductor-stocks
MRVL,semiconductor-stocks
MCHP,semiconductor-stocks
ON,semiconductor-stocks
TEL,semiconductor-stocks
STM,semiconductor-stocks
GFS,semiconductor-stocks
FTV,semiconductor-stocks
GLW,semiconductor-stocks
MPWR,semiconductor-stocks
KEYS,semiconductor-stocks
GRMN,semiconductor-stocks
TDY,semiconductor-stocks
UMC,semiconductor-stocks
ASX,semiconductor-stocks
SWKS,semiconductor-stocks
ATVI,video-game-stocks
NTES,video-game-stocks
NTDOY,video-game-stocks
EA,video-game-stocks
TTWO,video-game-stocks
RBLX,video-game-stocks
NEXOY,video-game-stocks
BILI,video-game-stocks
UBSFY,video-game-stocks
OTGLY,video-game-stocks
PLTK,video-game-stocks
SCPL,video-game-stocks
GRVY,video-game-stocks
MYPS,video-game-stocks
SOHU,video-game-stocks
SKLZ,video-game-stocks
BRAG,video-game-stocks
GMGI,video-game-stocks
SNAL,video-game-stocks
GAME,video-game-stocks
BHAT,video-game-stocks
GDC,video-game-stocks
MSGM,video-game-stocks
XOM,oil-and-gas-stocks
CVX,oil-and-gas-stocks
SHEL,oil-and-gas-stocks
TTE,oil-and-gas-stocks
COP,oil-and-gas-stocks
BP,oil-and-gas-stocks
EQNR,oil-and-gas-stocks
PBR,oil-and-gas-stocks
PBR-A,oil-and-gas-stocks
SLB,oil-and-gas-stocks
EOG,oil-and-gas-stocks
CNQ,oil-and-gas-stocks
ENB,oil-and-gas-stocks
MPC,oil-and-gas-stocks
EPD,oil-and-gas-stocks
OXY,oil-and-gas-stocks
PXD,oil-and-gas-stocks
PSX,oil-and-gas-stocks
VLO,oil-and-gas-stocks
HES,oil-and-gas-stocks
WDS,oil-and-gas-stocks
SU,oil-and-gas-stocks
ET,oil-and-gas-stocks
WMB,oil-and-gas-stocks
LNG,oil-and-gas-stocks
CVE,oil-and-gas-stocks
BKR,oil-and-gas-stocks
KMI,oil-and-gas-stocks
HAL,oil-and-gas-stocks
TRP,oil-and-gas-stocks
TCEHY,china-tech-and-internet-stocks
BABA,china-tech-and-internet-stocks
JD,china-tech-and-internet-stocks
BIDU,china-tech-and-internet-stocks
TME,china-tech-and-internet-stocks
VIPS,china-tech-and-internet-stocks
ATHM,china-tech-and-internet-stocks
WB,china-tech-and-internet-stocks
MOMO,china-tech-and-internet-stocks
PG,new-family-economy
HD,new-family-economy
COST,new-family-economy
VZ,new-family-economy
LOW,new-family-economy
F,new-family-economy
GM,new-family-economy
GIS,new-family-economy
WSM,new-family-economy
TPX,new-family-economy
NWL,new-family-economy
KBH,new-family-economy
BBBY,new-family-economy
^GSPC,world-indices
^DJI,world-indices
^IXIC,world-indices
^NYA,world-indices
^XAX,world-indices
^BUK100P,world-indices
^RUT,world-indices
^VIX,world-indices
^FTSE,world-indices
^GDAXI,world-indices
^FCHI,world-indices
^STOXX50E,world-indices
^N100,world-indices
^BFX,world-indices
IMOEX.ME,world-indices
^N225,world-indices
^HSI,world-indices
000001.SS,world-indices
399001.SZ,world-indices
^STI,world-indices
^AXJO,world-indices
^AORD,world-indices
^BSESN,world-indices
^JKSE,world-indices
^KLSE,world-indices
^NZ50,world-indices
^KS11,world-indices
^TWII,world-indices
^GSPTSE,world-indices
^BVSP,world-indices
^MXX,world-indices
^IPSA,world-indices
^MERV,world-indices
^TA125.TA,world-indices
^CASE30,world-indices
^JN0U.JO,world-indices
JPM,bank-and-financial-services-stocks
BAC,bank-and-financial-services-stocks
WFC-PQ,bank-and-financial-services-stocks
HDB,bank-and-financial-services-stocks
WFC,bank-and-financial-services-stocks
HSBC,bank-and-financial-services-stocks
MS,bank-and-financial-services-stocks
RY,bank-and-financial-services-stocks
SCHW,bank-and-financial-services-stocks
TD,bank-and-financial-services-stocks
GS,bank-and-financial-services-stocks
MUFG,bank-and-financial-services-stocks
UBS,bank-and-financial-services-stocks
IBN,bank-and-financial-services-stocks
C,bank-and-financial-services-stocks
BNPQY,bank-and-financial-services-stocks
SMFG,bank-and-financial-services-stocks
BMO,bank-and-financial-services-stocks
USB,bank-and-financial-services-stocks
BNS,bank-and-financial-services-stocks
ITUB,bank-and-financial-services-stocks
ING,bank-and-financial-services-stocks
PNC,bank-and-financial-services-stocks
BBVA,bank-and-financial-services-stocks
UNCRY,bank-and-financial-services-stocks
TFC,bank-and-financial-services-stocks
IBKR,bank-and-financial-services-stocks
BSBR,bank-and-financial-services-stocks
CRARY,bank-and-financial-services-stocks
NU,bank-and-financial-services-stocks
ABBV,420_stocks
BUD,420_stocks
MO,420_stocks
TAP,420_stocks
SMG,420_stocks
TLRY,420_stocks
WEED.TO,420_stocks
CRON,420_stocks
CGC,420_stocks
ACB,420_stocks
CRBP,420_stocks
CANN,420_stocks
GWPH,420_stocks
MJ,420_stocks
NBEV,420_stocks
TGOD.TO,420_stocks
TRST.TO,420_stocks
NV,most_shorted_stocks
BY,most_shorted_stocks
CV,most_shorted_stocks
SA,most_shorted_stocks
FA,most_shorted_stocks
LO,most_shorted_stocks
A,most_shorted_stocks
UP,most_shorted_stocks
MA,most_shorted_stocks
ST,most_shorted_stocks
NO,most_shorted_stocks
AR,most_shorted_stocks
CU,most_shorted_stocks
BL,most_shorted_stocks
SLG,most_shorted_stocks
SW,most_shorted_stocks
TW,most_shorted_stocks
FSR,most_shorted_stocks
TR,most_shorted_stocks
EO,most_shorted_stocks
BT,most_shorted_stocks
EN,most_shorted_stocks
IC,most_shorted_stocks
ABR,most_shorted_stocks
WI,most_shorted_stocks
B,aerospace_defense
RTX,aerospace_defense
LMT,aerospace_defense
NOC,aerospace_defense
G,aerospace_defense
TDG,aerospace_defense
LHX,aerospace_defense
HEI-A,aerospace_defense
HEI,aerospace_defense
HWM,aerospace_defense
AX,aerospace_defense
TXT,aerospace_defense
ES,aerospace_defense
HII,aerospace_defense
WWD,aerospace_defense
C,aerospace_defense
CAE,aerospace_defense
BW,aerospace_defense
HXL,aerospace_defense
DRS,aerospace_defense
MOG-B,aerospace_defense
MOG-A,aerospace_defense
AV,aerospace_defense
ERJ,aerospace_defense
EV,aerospace_defense
YUPRF,gainers
BUR,gainers
GW,gainers
IO,gainers
COVTY,gainers
CURLF,gainers
RO,gainers
GE,gainers
SM,gainers
PARAA,gainers
RLLCF,gainers
NNFSF,gainers
PBF,gainers
ST,gainers
GSK,gainers
BP,gainers
IN,gainers
XNGSF,gainers
SM,gainers
